nr_ift_xl,winner_odds,loser_odds,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
,3.4,1.33,4-0421,Canada Masters,Hard,64,M,20240805,300,200615,,,Alexei Popyrin,R,196,AUS,25.0,126094,5,,Andrey Rublev,R,188,RUS,26.7,6-2 6-4,3,F,89,10,3,64,38,32,9,9,5,6,4,5,62,27,17,14,9,5,9,62,821,8,3975
,1.29,3.75,2024-0421,Canada Masters,Hard,64,M,20240805,299,126094,5,,Andrey Rublev,R,188,RUS,26.7,208286,,,Matteo Arnaldi,R,185,ITA,23.4,6-4 6-2,3,SF,78,4,1,52,34,27,11,9,1,1,2,1,53,26,17,14,9,0,3,8,3975,46,1155
,3.0,1.4,2024-0421,Canada Masters,Hard,64,M,20240805,298,200615,,,Alexei Popyrin,R,196,AUS,25.0,200624,,,Sebastian Korda,R,196,USA,24.0,7-6(0) 6-3,3,SF,92,2,6,70,41,34,10,10,2,4,2,5,73,41,27,12,11,7,11,62,821,18,2270
,5.0,1.17,2024-0421,Canada Masters,Hard,64,M,20240805,297,126094,5,,Andrey Rublev,R,188,RUS,26.7,206173,1,,Jannik Sinner,R,191,ITA,22.9,6-3 1-6 6-2,3,QF,107,4,1,79,49,36,14,12,10,12,10,4,73,43,32,13,12,4,7,8,3975,1,9570
,1.5,2.63,2024-0421,Canada Masters,Hard,64,M,20240805,296,208286,,,Matteo Arnaldi,R,185,ITA,23.4,105453,,PR,Kei Nishikori,R,178,JPN,34.6,6-4 7-5,3,QF,120,5,5,73,35,26,17,11,4,6,0,1,76,52,30,13,11,5,9,46,1155,576,60
,2.3,1.62,2024-0421,Canada Masters,Hard,64,M,20240805,295,200615,,,Alexei Popyrin,R,196,AUS,25.0,128034,4,,Hubert Hurkacz,R,196,POL,27.4,3-6 7-6(5) 7-5,3,QF,167,11,6,105,68,51,17,16,8,11,8,3,141,78,54,30,17,17,20,62,821,6,4105
,3.4,1.33,2024-0421,Canada Masters,Hard,64,M,20240805,294,200624,,,Sebastian Korda,R,196,USA,24.0,100644,2,,Alexander Zverev,R,198,GER,27.2,7-6(5) 1-6 6-4,3,QF,138,7,2,93,57,42,14,15,5,9,5,11,98,65,51,11,14,7,9,18,2270,4,6845
,1.06,10,2024-0421,Canada Masters,Hard,64,M,20240805,293,206173,1,,Jannik Sinner,R,191,ITA,22.9,126214,15,,Alejandro Tabilo,L,188,CHI,27.1,6-4 6-3,3,R16,80,5,3,48,25,23,14,9,0,0,2,1,67,39,27,12,10,3,6,1,9570,21,1918
,1.53,2.5,2024-0421,Canada Masters,Hard,64,M,20240805,292,126094,5,,Andrey Rublev,R,188,RUS,26.7,206909,,Q,Brandon Nakashima,R,188,USA,23.0,6-2 6-2,3,R16,62,4,2,41,24,21,11,8,0,0,2,2,55,29,18,10,8,6,10,8,3975,52,935
,2.2,1.67,2024-0421,Canada Masters,Hard,64,M,20240805,291,208286,,,Matteo Arnaldi,R,185,ITA,23.4,200221,,,Alejandro Davidovich Fokina,R,183,ESP,25.1,4-6 7-6(5) 3-0 RET,3,R16,154,4,7,97,48,32,25,12,10,14,2,5,87,56,32,16,13,4,9,46,1155,42,1195
